WD_WS,VISIBILITY,WEATHER,LOWEST_CLOUD,LOW_CLOUD,MID_CLOUD,CURRENT_TEMP,DEW_POINT,RH
4,1000,BR,0,NSC,0,16,13,82.38595163
5,1000,FU,0,NSC,0,18,13,72.58214163
4,1100,FU,0,NSC,0,20,13,64.06828882
4,1100,FU,0,NSC,0,20,13,64.06828882
4,1200,FU,0,NSC,0,21,13,60.23620878
4,1200,FU,0,NSC,0,21,13,60.23620878
4,1200,FU,0,NSC,0,21,13,60.23620878
6,1300,FU,0,NSC,0,21,13,60.23620878
6,1300,FU,0,NSC,0,21,13,60.23620878
5,1500,FU,0,NSC,0,22,13,56.65969851
6,1300,FU,0,NSC,0,21,13,60.23620878
6,1300,FU,0,NSC,0,21,13,60.23620878
5,1300,FU,0,NSC,0,22,13,56.65969851
5,1300,FU,0,NSC,0,22,13,56.65969851
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
5,1500,FU,0,NSC,0,22,12,53.06221793
4,1200,FU,0,NSC,0,21,12,56.4116457
4,1200,FU,0,NSC,0,21,12,56.4116457
4,1200,FU,0,NSC,0,21,12,56.4116457
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,19,13,68.17624189
3,1200,FU,0,NSC,0,18,13,72.58214163
3,1200,FU,0,NSC,0,18,13,72.58214163
0,1000,BR,0,NSC,0,17,13,77.30999988
0,1000,BR,0,NSC,0,17,13,77.30999988
0,1000,BR,0,NSC,0,17,13,77.30999988
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,800,MIFG,0,NSC,0,17,14,82.50929269
0,700,MIFG,0,NSC,0,17,14,82.50929269
0,600,MIFG,0,NSC,0,15,12,82.26135296
0,600,MIFG,0,NSC,0,15,12,82.26135296
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
3,600,MIFG,0,NSC,0,15,13,87.83845906
0,500,MIFG,0,NSC,0,14,12,87.74935808
0,500,MIFG,0,NSC,0,14,12,87.74935808
0,500,MIFG,0,NSC,0,13,11,87.65929894
0,500,MIFG,0,NSC,0,13,11,87.65929894
0,400,FG,0,NSC,0,12,11,93.60237176
0,400,FG,0,NSC,0,12,11,93.60237176
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,350,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,11,10,93.55347155
0,250,FG,0,NSC,0,11,10,93.55347155
0,300,FG,0,NSC,0,13,10,82.00831729
0,500,MIFG,0,NSC,0,14,10,76.84059326
0,600,MIFG,0,NSC,0,16,14,87.92661502
0,600,MIFG,0,NSC,0,16,14,87.92661502
0,600,MIFG,0,NSC,0,16,14,87.92661502
4,800,FU,0,NSC,0,20,14,68.37704311
4,800,FU,0,NSC,0,20,14,68.37704311
4,1000,FU,0,NSC,0,20,14,68.37704311
4,1200,FU,0,NSC,0,22,13,56.65969851
4,1200,FU,0,NSC,0,22,13,56.65969851
5,1500,FU,0,NSC,0,23,12,49.93463426
6,1500,FU,0,NSC,0,23,12,49.93463426
5,1500,FU,0,NSC,0,23,12,49.93463426
5,1500,FU,0,NSC,0,23,12,49.93463426
4,1500,FU,0,NSC,0,23,11,46.74000199
4,1600,FU,0,NSC,0,24,11,44.00507856
4,1600,FU,0,NSC,0,24,11,44.00507856
4,1600,FU,0,NSC,0,24,10,41.16827865
4,1600,FU,0,NSC,0,24,11,44.00507856
6,1600,FU,0,NSC,0,23,12,49.93463426
6,1600,FU,0,NSC,0,22,12,53.06221793
6,1600,FU,0,NSC,0,21,12,56.4116457
6,1600,FU,0,NSC,0,18,12,67.97370122
4,1600,FU,0,NSC,0,17,12,72.4013747
4,1600,FU,0,NSC,0,17,12,72.4013747
4,1600,FU,0,NSC,0,17,12,72.4013747
4,1600,BR,0,NSC,0,17,14,82.50929269
4,1600,BR,0,NSC,0,17,14,82.50929269
4,1600,BR,0,NSC,0,17,14,82.50929269
4,1600,BR,0,NSC,0,17,14,82.50929269
4,1600,BR,0,NSC,0,17,14,82.50929269
4,1600,BR,0,NSC,0,17,14,82.50929269
3,1500,BR,0,NSC,0,16,14,87.92661502
0,1200,BR,0,NSC,0,15,13,87.83845906
0,1200,BR,0,NSC,0,14,13,93.69853668
0,1200,BR,0,NSC,0,14,13,93.69853668
0,1200,BR,0,NSC,0,14,13,93.69853668
0,1200,BR,0,NSC,0,14,13,93.69853668
0,1200,BR,0,NSC,0,14,13,93.69853668
0,900,MIFG,0,NSC,0,14,13,93.69853668
0,800,MIFG,0,NSC,0,13,13,100
0,800,MIFG,0,NSC,0,13,13,100
0,800,MIFG,0,NSC,0,13,13,100
0,700,MIFG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
0,500,FG,0,NSC,0,13,12,93.65072411
0,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
3,500,FG,0,NSC,0,13,12,93.65072411
0,350,FG,0,NSC,0,13,12,93.65072411
0,350,FG,0,NSC,0,13,12,93.65072411
0,350,FG,0,NSC,0,13,12,93.65072411
0,300,FG,0,NSC,0,13,12,93.65072411
0,200,FG,0,NSC,0,13,12,93.65072411
0,200,FG,0,NSC,0,13,12,93.65072411
0,200,FG,0,NSC,0,13,12,93.65072411
0,200,FG,0,NSC,0,13,12,93.65072411
0,200,FG,0,NSC,0,13,12,93.65072411
0,250,FG,0,NSC,0,13,11,87.65929894
0,300,FG,0,NSC,0,13,11,87.65929894
0,300,FG,0,NSC,0,13,11,87.65929894
0,300,FG,0,NSC,0,13,11,87.65929894
3,800,MIFG,0,NSC,0,16,13,82.38595163
3,800,MIFG,0,NSC,0,16,13,82.38595163
4,800,FU,0,NSC,0,19,13,68.17624189
4,1000,FU,0,NSC,0,20,12,60.00041641
4,1000,FU,0,NSC,0,20,12,60.00041641
5,1500,FU,0,NSC,0,24,12,47.01278155
5,1500,FU,0,NSC,0,24,12,47.01278155
4,1500,FU,0,NSC,0,24,12,47.01278155
4,1500,FU,0,NSC,0,24,12,47.01278155
5,1500,FU,0,NSC,0,24,12,47.01278155
4,1500,FU,0,NSC,0,24,11,44.00507856
4,1700,FU,0,NSC,0,24,11,44.00507856
4,2000,FU,0,NSC,0,24,11,44.00507856
4,2200,FU,0,NSC,0,24,10,41.16827865
4,2200,FU,0,NSC,0,24,10,41.16827865
4,2200,FU,0,NSC,0,23,10,43.72689447
3,2200,FU,0,NSC,0,21,11,52.80263832
3,2200,FU,0,NSC,0,21,11,52.80263832
3,2200,FU,0,NSC,0,21,11,52.80263832
3,2200,FU,0,NSC,0,21,11,52.80263832
0,2000,FU,0,NSC,0,21,11,52.80263832
0,1800,FU,0,NSC,0,19,11,59.76281568
0,1800,FU,0,NSC,0,18,12,67.97370122
0,1800,FU,0,NSC,0,18,12,67.97370122
0,1600,FU,0,NSC,0,17,12,72.4013747
3,1500,FU,0,NSC,0,17,12,72.4013747
3,1200,BR,0,NSC,0,17,13,77.30999988
0,1000,BR,0,NSC,0,17,13,77.30999988
0,1000,BR,0,NSC,0,16,13,82.38595163
0,1000,BR,0,NSC,0,16,13,82.38595163
0,1000,BR,0,NSC,0,16,13,82.38595163
5,800,MIFG,0,NSC,0,16,13,82.38595163
5,800,MIFG,0,NSC,0,16,13,82.38595163
5,800,MIFG,0,NSC,0,16,13,82.38595163
5,800,MIFG,0,NSC,0,16,13,82.38595163
6,800,MIFG,0,NSC,0,15,13,87.83845906
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,14,93.74581735
6,800,MIFG,0,NSC,0,15,15,100
6,800,MIFG,0,NSC,0,15,15,100
6,800,MIFG,0,NSC,0,15,15,100
6,800,MIFG,0,NSC,0,15,15,100
7,800,MIFG,0,NSC,0,15,15,100
7,800,MIFG,0,NSC,0,15,15,100
7,600,MIFG,0,NSC,0,15,15,100
7,600,MIFG,0,NSC,0,15,15,100
7,700,MIFG,0,NSC,0,16,14,87.92661502
6,800,MIFG,0,NSC,0,17,14,82.50929269
6,800,MIFG,0,NSC,0,17,14,82.50929269
6,800,MIFG,0,NSC,0,18,14,77.46347404
6,800,FU,0,NSC,0,19,14,72.7612664
6,1000,FU,0,NSC,0,20,14,68.37704311
6,1000,FU,0,NSC,0,20,14,68.37704311
6,1000,FU,0,NSC,0,20,14,68.37704311
6,1000,FU,0,NSC,0,20,14,68.37704311
6,1000,FU,0,NSC,0,20,14,68.37704311
6,1000,FU,0,NSC,0,21,14,64.28724601
6,1200,FU,0,NSC,0,21,11,52.80263832
6,1500,FU,0,NSC,0,23,11,46.74000199
6,2000,FU,0,NSC,0,23,11,46.74000199
8,2200,FU,0,NSC,0,24,11,44.00507856
8,2200,HZ,0,NSC,0,24,10,41.16827865
8,2200,HZ,0,NSC,0,24,10,41.16827865
8,2200,HZ,0,NSC,0,24,10,41.16827865
8,2200,HZ,0,NSC,0,24,10,41.16827865
8,2500,HZ,0,NSC,0,24,10,41.16827865
