DATE,TIME,DT,WD_WS,VISIBILITY,WEATHER,LOWEST_CLOUD,LOW_CLOUD,MID_CLOUD,CURRENT_TEMP,DEW_POINT
03-01-2017,631,30630,310/04,1000,BR,0,NSC,0,16,13
04-01-2017,701,30700,280/05,1000,FU,0,NSC,0,18,13
05-01-2017,731,30730,290/04,1100,FU,0,NSC,0,20,13
06-01-2017,731,30730,290/04,1100,FU,0,NSC,0,20,13
07-01-2017,801,30800,290/04,1200,FU,0,NSC,0,21,13
08-01-2017,801,30800,290/04,1200,FU,0,NSC,0,21,13
09-01-2017,801,30800,290/04,1200,FU,0,NSC,0,21,13
10-01-2017,08:30,30830,290/06,1300,FU,0,NSC,0,21,13
11-01-2017,08:30,30830,290/06,1300,FU,0,NSC,0,21,13
12-01-2017,09:00,30900,290/05,1500,FU,0,NSC,0,22,13
13-01-2017,08:30,30830,290/06,1300,FU,0,NSC,0,21,13
14-01-2017,08:30,30830,290/06,1300,FU,0,NSC,0,21,13
15-01-2017,09:30,30930,310/05,1300,FU,0,NSC,0,22,13
16-01-2017,09:30,30930,310/05,1300,FU,0,NSC,0,22,13
17-01-2017,10:00,31030,310/05,1500,FU,0,NSC,0,22,12
18-01-2017,10:00,31000,310/05,1500,FU,0,NSC,0,22,12
19-01-2017,10:00,31000,310/05,1500,FU,0,NSC,0,22,12
20-01-2017,10:30,31030,310/05,1500,FU,0,NSC,0,22,12
21-01-2017,10:30,31030,310/05,1500,FU,0,NSC,0,22,12
22-01-2017,10:32,31030,310/05,1500,FU,0,NSC,0,22,12
23-01-2017,10:00,31000,310/05,1500,FU,0,NSC,0,22,12
24-01-2017,10:00,31000,310/05,1500,FU,0,NSC,0,22,12
25-01-2017,10:00,31000,310/05,1500,FU,0,NSC,0,22,12
26-01-2017,11:00,31100,300/04,1200,FU,0,NSC,0,21,12
27-01-2017,11:00,31100,300/04,1200,FU,0,NSC,0,21,12
28-01-2017,11:00,31100,300/04,1200,FU,0,NSC,0,21,12
29-01-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
30-01-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
31-01-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
01-02-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
02-02-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
03-02-2017,12:00,31200,270/03,1200,FU,0,NSC,0,19,13
